"lon","lat","temp","date"
21.75,-26.75,27.7608337402344,1979-04-27
21.75,-26.75,29.046459197998,1979-04-28
21.75,-26.75,30.4054679870605,1979-04-29
21.75,-26.75,31.4587955474854,1979-04-30
21.75,-26.75,33.4124336242676,1979-05-01
21.75,-26.75,32.5737571716309,1979-05-02
21.75,-26.75,32.7462310791016,1979-05-03
21.75,-26.75,31.257043838501,1979-05-04
21.75,-26.75,21.9575634002686,1979-05-05
21.75,-26.75,19.6959018707275,1979-05-06
21.75,-26.75,19.3443851470947,1979-05-07
21.75,-26.75,19.1560668945312,1979-05-08
21.75,-26.75,17.9207572937012,1979-05-09
21.75,-26.75,21.5576438903809,1979-05-10
21.75,-26.75,22.8057041168213,1979-05-11
21.75,-26.75,23.9047145843506,1979-05-12
21.75,-26.75,24.5926284790039,1979-05-13
21.75,-26.75,25.9918251037598,1979-05-14
21.75,-26.75,26.308177947998,1979-05-15
21.75,-26.75,26.7258567810059,1979-05-16
21.75,-26.75,26.0361251831055,1979-05-17
21.75,-26.75,25.9405612945557,1979-05-18
21.75,-26.75,25.9156894683838,1979-05-19
21.75,-26.75,26.895378112793,1979-05-20
21.75,-26.75,27.7813930511475,1979-05-21
21.75,-26.75,28.4204406738281,1979-05-22
21.75,-26.75,27.9069747924805,1979-05-23
21.75,-26.75,24.0273418426514,1979-05-24
21.75,-26.75,23.5767192840576,1979-05-25
21.75,-26.75,27.5097961425781,1979-05-26
21.75,-26.75,26.5826625823975,1979-05-27
21.75,-26.75,25.8948268890381,1979-05-28
21.75,-26.75,27.8976211547852,1979-05-29
21.75,-26.75,25.1368560791016,1979-05-30
21.75,-26.75,24.3035564422607,1979-05-31
21.75,-26.75,23.1964740753174,1979-06-01
21.75,-26.75,24.8782615661621,1979-06-02
21.75,-26.75,24.3083019256592,1979-06-03
21.75,-26.75,24.2382316589355,1979-06-04
21.75,-26.75,22.8460826873779,1979-06-05
21.75,-26.75,22.5441131591797,1979-06-06
21.75,-26.75,20.6492881774902,1979-06-07
21.75,-26.75,23.4346790313721,1979-06-08
21.75,-26.75,26.5241889953613,1979-06-09
21.75,-26.75,23.6461181640625,1979-06-10
21.75,-26.75,15.867618560791,1979-06-11
21.75,-26.75,13.6379089355469,1979-06-12
21.75,-26.75,12.5688400268555,1979-06-13
21.75,-26.75,14.3706293106079,1979-06-14
21.75,-26.75,15.4716377258301,1979-06-15
21.75,-26.75,17.050745010376,1979-06-16
21.75,-26.75,18.0455474853516,1979-06-17
21.75,-26.75,19.5156917572021,1979-06-18
21.75,-26.75,19.2611122131348,1979-06-19
21.75,-26.75,20.146785736084,1979-06-20
21.75,-26.75,21.0431804656982,1979-06-21
21.75,-26.75,21.2594585418701,1979-06-22
21.75,-26.75,22.9876766204834,1979-06-23
21.75,-26.75,23.508638381958,1979-06-24
21.75,-26.75,24.400993347168,1979-06-25
21.75,-26.75,24.8904323577881,1979-06-26
21.75,-26.75,16.138053894043,1979-06-27
21.75,-26.75,19.7488269805908,1979-06-28
21.75,-26.75,21.8874835968018,1979-06-29
21.75,-26.75,13.707839012146,1979-06-30
21.75,-26.75,21.1309776306152,1979-07-01
21.75,-26.75,23.6109752655029,1979-07-02
21.75,-26.75,23.0798473358154,1979-07-03
21.75,-26.75,19.8329448699951,1979-07-04
21.75,-26.75,20.2476558685303,1979-07-05
21.75,-26.75,20.243091583252,1979-07-06
21.75,-26.75,21.114221572876,1979-07-07
21.75,-26.75,17.2179832458496,1979-07-08
21.75,-26.75,19.7274436950684,1979-07-09
21.75,-26.75,20.4376983642578,1979-07-10
21.75,-26.75,20.7771492004395,1979-07-11
21.75,-26.75,20.3839664459229,1979-07-12
21.75,-26.75,19.4009666442871,1979-07-13
21.75,-26.75,22.5820446014404,1979-07-14
21.75,-26.75,21.3577575683594,1979-07-15
21.75,-26.75,23.7986812591553,1979-07-16
21.75,-26.75,24.5447406768799,1979-07-17
21.75,-26.75,21.9465255737305,1979-07-18
21.75,-26.75,21.8330307006836,1979-07-19
21.75,-26.75,22.5468406677246,1979-07-20
21.75,-26.75,13.4289531707764,1979-07-21
21.75,-26.75,12.7359275817871,1979-07-22
21.75,-26.75,17.2674217224121,1979-07-23
21.75,-26.75,20.3747272491455,1979-07-24
21.75,-26.75,13.1009654998779,1979-07-25
21.75,-26.75,15.9012269973755,1979-07-26
21.75,-26.75,20.4968147277832,1979-07-27
21.75,-26.75,23.5271263122559,1979-07-28
21.75,-26.75,24.6280918121338,1979-07-29
21.75,-26.75,23.9096374511719,1979-07-30
21.75,-26.75,22.3039150238037,1979-07-31
21.75,-26.75,24.6200008392334,1979-08-01
21.75,-26.75,24.3202934265137,1979-08-02
21.75,-26.75,25.6394786834717,1979-08-03
21.75,-26.75,28.175853729248,1979-08-04
21.75,-26.75,27.3203773498535,1979-08-05
21.75,-26.75,28.636791229248,1979-08-06
21.75,-26.75,30.0399551391602,1979-08-07
21.75,-26.75,26.9274158477783,1979-08-08
21.75,-26.75,19.0284519195557,1979-08-09
21.75,-26.75,22.9728050231934,1979-08-10
21.75,-26.75,27.5615863800049,1979-08-11
21.75,-26.75,22.7731952667236,1979-08-12
21.75,-26.75,21.8934650421143,1979-08-13
21.75,-26.75,17.3833484649658,1979-08-14
21.75,-26.75,21.6355819702148,1979-08-15
21.75,-26.75,24.1041107177734,1979-08-16
21.75,-26.75,25.1088981628418,1979-08-17
21.75,-26.75,24.4812698364258,1979-08-18
