"hist","proj","run","rcp","gcm","cutoff"
0.173913043478261,0.954545454545455,"End century","RCP8.5","IPSL-CM5A-MR",">7 m"
0,0.80952380952381,"Mid century","RCP8.5","IPSL-CM5A-MR",">8 m"
0,0.954545454545455,"End century","RCP8.5","IPSL-CM5A-MR",">8 m"
0,0.761904761904762,"Mid century","RCP8.5","IPSL-CM5A-MR",">9 m"
0,0.954545454545455,"End century","RCP8.5","IPSL-CM5A-MR",">9 m"
0,0.571428571428571,"Mid century","RCP8.5","IPSL-CM5A-MR",">10 m"
0,0.954545454545455,"End century","RCP8.5","IPSL-CM5A-MR",">10 m"
0.434782608695652,0.590909090909091,"Mid century","RCP4.5","MIROC5",">6 m"
0.434782608695652,0.909090909090909,"End century","RCP4.5","MIROC5",">6 m"
0.304347826086957,0.409090909090909,"Mid century","RCP4.5","MIROC5",">7 m"
0.304347826086957,0.636363636363636,"End century","RCP4.5","MIROC5",">7 m"
0.217391304347826,0.363636363636364,"Mid century","RCP4.5","MIROC5",">8 m"
0.217391304347826,0.454545454545455,"End century","RCP4.5","MIROC5",">8 m"
0.0869565217391304,0.0909090909090909,"Mid century","RCP4.5","MIROC5",">9 m"
0.0869565217391304,0.181818181818182,"End century","RCP4.5","MIROC5",">9 m"
0.0869565217391304,0,"Mid century","RCP4.5","MIROC5",">10 m"
0.0869565217391304,0.0909090909090909,"End century","RCP4.5","MIROC5",">10 m"
0.478260869565217,0.545454545454545,"Mid century","RCP6.0","MIROC5",">6 m"
0.478260869565217,0.909090909090909,"End century","RCP6.0","MIROC5",">6 m"
0.304347826086957,0.318181818181818,"Mid century","RCP6.0","MIROC5",">7 m"
0.304347826086957,0.681818181818182,"End century","RCP6.0","MIROC5",">7 m"
0.260869565217391,0.0454545454545455,"Mid century","RCP6.0","MIROC5",">8 m"
0.260869565217391,0.318181818181818,"End century","RCP6.0","MIROC5",">8 m"
0.0869565217391304,0,"Mid century","RCP6.0","MIROC5",">9 m"
0.0869565217391304,0.0909090909090909,"End century","RCP6.0","MIROC5",">9 m"
0.0434782608695652,0,"Mid century","RCP6.0","MIROC5",">10 m"
0.0434782608695652,0.0909090909090909,"End century","RCP6.0","MIROC5",">10 m"
