"lon","lat","date","rain"
"21.25","-26.25",1981-04-01,0.195222780108452
"23.75","-26.25",1981-04-01,0.223774626851082
"21.25","-28.75",1981-05-01,0.15222142636776
"23.75","-28.75",1981-05-01,0.257904291152954
"21.25","-26.25",1981-05-01,0.0248825773596764
"23.75","-26.25",1981-05-01,0.0155355492606759
"21.25","-28.75",1981-06-01,0.0588735416531563
"23.75","-28.75",1981-06-01,0.192228153347969
"21.25","-26.25",1981-06-01,0.0208236835896969
"23.75","-26.25",1981-06-01,0.201912194490433
"21.25","-28.75",1981-07-01,0.0112034063786268
"23.75","-28.75",1981-07-01,0.00403859280049801
"21.25","-26.25",1981-07-01,0.0349219664931297
"23.75","-26.25",1981-07-01,0.00403775833547115
"21.25","-28.75",1981-08-01,1.27460956573486
"23.75","-28.75",1981-08-01,1.75495588779449
"21.25","-26.25",1981-08-01,0.690631508827209
"23.75","-26.25",1981-08-01,0.912796020507812
"21.25","-28.75",1981-09-01,0.0279969871044159
"23.75","-28.75",1981-09-01,0.0386292114853859
"21.25","-26.25",1981-09-01,0
"23.75","-26.25",1981-09-01,0.148289799690247
"21.25","-28.75",1981-10-01,0.621323466300964
"23.75","-28.75",1981-10-01,0.984378457069397
"21.25","-26.25",1981-10-01,0.515009582042694
"23.75","-26.25",1981-10-01,0.554221034049988
"21.25","-28.75",1981-11-01,0.460581690073013
"23.75","-28.75",1981-11-01,1.5047150850296
"21.25","-26.25",1981-11-01,0.971605896949768
"23.75","-26.25",1981-11-01,1.99047803878784
"21.25","-28.75",1981-12-01,0.320868760347366
"23.75","-28.75",1981-12-01,2.28005313873291
"21.25","-26.25",1981-12-01,0.804472267627716
"23.75","-26.25",1981-12-01,2.26942563056946
"21.25","-28.75",1982-01-01,0.0235948339104652
"23.75","-28.75",1982-01-01,0.509670197963715
"21.25","-26.25",1982-01-01,0.638434648513794
"23.75","-26.25",1982-01-01,0.926782071590424
"21.25","-28.75",1982-02-01,0.568464815616608
"23.75","-28.75",1982-02-01,1.57374167442322
"21.25","-26.25",1982-02-01,0.798610091209412
"23.75","-26.25",1982-02-01,1.03907358646393
"21.25","-28.75",1982-03-01,0.602115511894226
"23.75","-28.75",1982-03-01,1.58401560783386
"21.25","-26.25",1982-03-01,0.30162701010704
"23.75","-26.25",1982-03-01,1.27551198005676
"21.25","-28.75",1982-04-01,1.09133815765381
"23.75","-28.75",1982-04-01,1.7476212978363
"21.25","-26.25",1982-04-01,1.27612137794495
"23.75","-26.25",1982-04-01,2.2376720905304
"21.25","-28.75",1982-05-01,0.0116809736937284
"23.75","-28.75",1982-05-01,0.0092454282566905
"21.25","-26.25",1982-05-01,0.0761760696768761
"23.75","-26.25",1982-05-01,0.00977614056318998
"21.25","-28.75",1982-06-01,0.126733332872391
