month,year,rainSD,tempSD
10,2009,0.517548553,0.048172649
11,2009,1.005204324,-0.703117726
12,2009,-0.202914141,-0.585184783
1,2010,0.847609423,0.240785271
2,2010,1.843033695,-0.144181609
3,2010,-0.283815026,0.1274644
4,2010,-0.439718314,0.263114008
5,2010,-0.332906158,0.037988469
6,2010,-0.071521781,0.108226148
7,2010,-0.085220739,-0.041925645
8,2010,-0.016169832,0.052248438
9,2010,-0.06070919,0.254234607
10,2010,-0.281208355,0.277569749
11,2010,-0.155462584,0.07811142
12,2010,0.53593083,0.143397278
1,2011,0.882074842,0.032913671
2,2011,2.180727826,-0.311069599
3,2011,1.371412613,-0.210357685
4,2011,0.687419678,0.200467763
5,2011,1.283913513,0.113644901
6,2011,0.314099353,-0.131936834
7,2011,0.185353278,-0.386046449
8,2011,-0.016042768,-0.181143033
9,2011,-0.02168601,0.04310678
10,2011,-0.25970925,0.138867055
11,2011,-0.553160329,-0.105556076
12,2011,-0.060955155,-0.038956392
1,2012,0.184733599,0.247905557
2,2012,0.167858738,0.144155313
3,2012,1.310318403,0.027996075
4,2012,-0.152586793,0.138247105
5,2012,-0.577570694,0.149433996
6,2012,-0.067138634,-0.070267423
7,2012,0.347414897,-0.340113236
8,2012,0.007486507,-0.658740398
9,2012,-0.033356964,-0.373909426
10,2012,-0.169467112,-0.251705766
11,2012,-0.269571222,0.056158494
12,2012,0.251091923,-0.006646242
1,2013,0.296613065,-0.071738199
2,2013,-1.270999799,0.31565917
3,2013,-0.443961002,0.292769899
4,2013,0.618319922,-0.012233802
5,2013,-1.005819141,-0.230748421
6,2013,-0.273165769,-0.110751761
7,2013,-0.072072089,0.016558366
8,2013,0.027068036,-0.266580219
9,2013,-0.01299779,-0.576833235
10,2013,-0.219837319,-0.155711374
11,2013,-0.493364179,0.044223828
12,2013,0.260179242,0.173189951
1,2014,0.647935646,-0.072826232
2,2014,-0.152243094,0.053029089
3,2014,1.188901497,-0.281595081
4,2014,0.298729011,-0.19842917
5,2014,-0.669030096,0.196771771
6,2014,0.058045026,0.217029493
7,2014,-0.075124595,0.227149379
8,2014,0.024718108,0.305107745
9,2014,0.023758319,0.560199229
10,2014,-0.143015231,0.337002645
11,2014,-0.142829543,0.109916606
12,2014,0.035490657,0.067664058
1,2015,-0.838990164,0.402438254
2,2015,-1.345291048,0.365809881
3,2015,-0.752813941,0.500565606
4,2015,0.363776282,-0.052363712
5,2015,-0.475186978,0.287348993
6,2015,-0.225438674,0.611880452
7,2015,0.061485169,0.104078748
8,2015,0.053670528,0.167788402
9,2015,0.005060935,0.29792635
10,2015,-0.16835725,0.398711454
11,2015,-0.594968582,0.591062407
12,2015,-0.863284203,0.246586883
1,2016,-0.614046903,0.714467315
2,2016,0.228176491,0.500697309
3,2016,-0.755012283,0.521513059
4,2016,-0.131099646,0.114180693
5,2016,0.431455404,0.063036486
6,2016,0.272592679,0.176001932
7,2016,-0.070036819,0.318581527
8,2016,0.042851935,0.078492697
9,2016,-0.042298134,0.400512159
10,2016,-0.204749319,0.060943546
11,2016,-0.350292576,0.478785105
12,2016,-0.169396591,0.626219719
1,2017,0.286597166,0.19456852
2,2017,1.268854252,-0.261024572
3,2017,0.775681209,-0.2051699
4,2017,-0.465403284,0.380494409
5,2017,0.24820673,0.380116429
6,2017,-0.253157162,0.533110674
7,2017,-0.100302916,0.745521713
8,2017,-0.021989522,0.751442592
9,2017,-0.047803817,0.540507704
10,2017,-0.09079962,0.305202296
11,2017,-0.205478251,-0.051608567
12,2017,-0.390348943,0.242016554
1,2018,-0.515385712,0.321865228
2,2018,-0.666812623,0.372781071
3,2018,-0.178061501,0.114565689
4,2018,0.39009395,0.030763712
5,2018,1.079784149,0.032531303
6,2018,-0.227865275,0.234055096
7,2018,-0.087777259,0.300517602
8,2018,0.008978718,0.025090948
9,2018,-0.040262118,-0.342102713
10,2018,-0.14417511,-0.033095141
11,2018,-0.370696683,0.199750955
12,2018,-0.743785299,0.372791073
