"hist","proj","run","rcp","gcm","cutoff"
0.0869565217391304,0.954545454545455,"end century","RCP8.5","IPSL-CM5A-MR",">7 m"
0.0434782608695652,0.80952380952381,"mid century","RCP8.5","IPSL-CM5A-MR",">8 m"
0.0434782608695652,0.954545454545455,"end century","RCP8.5","IPSL-CM5A-MR",">8 m"
0,0.761904761904762,"mid century","RCP8.5","IPSL-CM5A-MR",">9 m"
0,0.954545454545455,"end century","RCP8.5","IPSL-CM5A-MR",">9 m"
0,0.571428571428571,"mid century","RCP8.5","IPSL-CM5A-MR",">10 m"
0,0.954545454545455,"end century","RCP8.5","IPSL-CM5A-MR",">10 m"
0.434782608695652,0.545454545454545,"mid century","RCP4.5","MIROC5",">6 m"
0.434782608695652,0.863636363636364,"end century","RCP4.5","MIROC5",">6 m"
0.304347826086957,0.409090909090909,"mid century","RCP4.5","MIROC5",">7 m"
0.304347826086957,0.636363636363636,"end century","RCP4.5","MIROC5",">7 m"
0.217391304347826,0.363636363636364,"mid century","RCP4.5","MIROC5",">8 m"
0.217391304347826,0.363636363636364,"end century","RCP4.5","MIROC5",">8 m"
0.130434782608696,0.0909090909090909,"mid century","RCP4.5","MIROC5",">9 m"
0.130434782608696,0.181818181818182,"end century","RCP4.5","MIROC5",">9 m"
0.0869565217391304,0,"mid century","RCP4.5","MIROC5",">10 m"
0.0869565217391304,0.0909090909090909,"end century","RCP4.5","MIROC5",">10 m"
0.478260869565217,0.5,"mid century","RCP6.0","MIROC5",">6 m"
0.478260869565217,0.863636363636364,"end century","RCP6.0","MIROC5",">6 m"
0.304347826086957,0.318181818181818,"mid century","RCP6.0","MIROC5",">7 m"
0.304347826086957,0.636363636363636,"end century","RCP6.0","MIROC5",">7 m"
0.260869565217391,0,"mid century","RCP6.0","MIROC5",">8 m"
0.260869565217391,0.272727272727273,"end century","RCP6.0","MIROC5",">8 m"
0.0869565217391304,0,"mid century","RCP6.0","MIROC5",">9 m"
0.0869565217391304,0.136363636363636,"end century","RCP6.0","MIROC5",">9 m"
0,0,"mid century","RCP6.0","MIROC5",">10 m"
